text,sentiment
"Dikulit aku yang oily dia agak berat rasanya, nyerapnya juga agak sedikit lama. Untuk efektivitasnya butuh waktu ya say ofc. Untuk aromanya, masih enak, gak ganggu. Mungkin bakalan cari serum pencerah lainnya lagi, yang lebih ringan dikulit aku",Negatif
"Sudah paki retinol dan kolagen dari brand ini, niacinamide 5% dan 10% nya sangat bagus dimuka ku 😍 udah banyk repurchasednya karena combine antara niacinamide + vit c dan niacinamide + retinol. Beli di official store di e-commerce banyak promo jadi makin sayang",Positif
"pertama pake serum ini yang awal launching. terus cocok dan muncul baru yang kandungan 10%. aku pake yang 10% dan bikin bekas jerawat ilang, terus udah lama ga aku pake sekitar 1 tahun. terus aku pake lagi yg 5% malah ga berasa apa2, cuma hidrasi aja. kayanya krn aku udh pake 10% dan downgrade ke 5%",Positif
Serum yang wajib bgt dipunya krn membantu bgt buat tipe kulit kyk aku yg bnyk bgt noda hitam atau bekas jerawat. Teksturnya agak kental dan sedikit lengket..Aku sudah pakai selama lbh dr 1 tahun dan hasilnya sudah bisa terlihat setelah 1-2 bulan pemakaian kok asal konsisten ya.. Produk ini aku rasa cocok utk pemula krn di aku pertama kali kenal skincare lgsg coba produknya somethinc dan untungnya sampai skg cocok dan ketagihan repurchase🤭,Positif
"Coba produk ini direkomendasiin sama member fd katanya niacin bisa mencerahkan wajah, jadi aku coba si somethinc ini. Teksturnya gampang menyerap dan wanginya juga gak aneh-aneh. Aku pakai ini cuma satu botol aja karena aku merasa efek mencerahkannya kurang signifikan yaa.. Di wajahku ini cenderung lebih mengontrol minyak di wajah, dan gak ada efek yang buruk sih.",Positif
"udah hampir setahunan pakai produk ini, di combo sama retinol. aku pake ini dimalam hari, bareng sama retinol. trus pas bangun, muka keliatan lebih cerah,Alus dan kenyal. setelah pemakaian rutin, beberapa noda hitam di wajah memudar, emang sebagus itu produk somethinc",Positif
"waktu aku beli produk ini, keadaan muka aku lagi sensitif. jadi pemakaian nya ini setelah mula aku beneran normal. saat pemakaian sih ga ada yang membuat iritasi. efek lembab nya juga cukup buat muka aku yang combine. aku nyoba ngabisin ini 1 botol udah lumayan keliatan sih efek mudarin bekas jerawat kemerahan. tapi untuk bekas jerawat yang kehitaman kayaknya perlu ngabisin lebih banyak botol. karena aku baru make niacin, aku lebih milih kadar nya yang 5% nya aja dulu.",Netral
"ini okei! dipakai tiap malam juga enggak bikin kulit kenapa kenapa, cenderung menjaga kondisi kulit! tapiii setelah aku pakai sampai habis, belum ada efek yang wow gitu loo untuk kecerahan kulit aku juga enggak ada improve yang jauh terlihat",Positif
Bagus sih aq suka cocok dikulit ku dan kenyal... Bikin kerutan memudar flek hitam jg berkurang... Paking produk jg aman... Cocok untuk semua jebis kulit...aman jd yg mau pke produk itu bisa lngsung beli ya,Positif
"Mix feeling sih cobain ini… i dont expect much soalnya orang2 di sekitarku banyak banget yang gak cocok pake ini malah bruntusan gitu.. tapi temen-temen onlen pada suka 😂 dan jujurly di aku sih so so aja sih gak yang bikin breakout tapi juga yang gak wah gtu,, teksturnya agak kental dan butek.. mudah di blend dan cepet nyerep.. i dont see much different tbh tapi kalo baru mau coba niacin sabilah coba ini ada efek cuma gak significan",Netral
q pake ini sdh lama Krn bkin kulit selain halus bekas jrwt jg memudar tp jg butuh waktu y jd harus sabar q pakein jg buat ank q yg SMP. q kombinasi sm glow maker dan retinol jg cm ank q g pke retinol ny.klo mau agak cpt pke yg 10% must try pokok ny jgn skip,Positif
"Beli ini karena hopeless banget muka kusemu dan menghitam bcs banyak kerjaan diluar extra dari biasanya karena kulit kusam, belang dan bruntusan nyobain ini, texturenya cair ke gel lumayan sticky bisa buat primer sebelum makeup dan terasa lembap dikulit.. after 2 weeks baru kelihatan kulit lebih cerah dan ga menyamarkan belang.",Positif
"Aku pakai ini entah kenapa terasa panas dan akhirnya muncul bruntus kecil di jidat. Terasa perih di bagian tertentu. Aku pikir mungkin karena kulitku belum terbiasa sama produknya. Akhirnya aku putuskan untuk pake sampai habis karena harganya mahal dan sayang banget kalau gak dipakai. Ternyata sampai habispun efeknya masih menimbulkan bruntus kecil dan terasa panas di muka. Sekarang aku pakai produk lain yg harganya jauh lebih terjangkau gk jd masalah walau sama 5% niacinamide. Efeknya nggak terlalu sih. Mungkin wajahku yang gk cocok sama ingredientnay. Jadi kesimpulannya, produk mahal atau murah gak pengaruh ya, yang penting wajah kita cocok dan menampilkan perubahan.",Negatif
Aku uda pernah pake yg 5% sama 10% tp gatau somehow dikulitku lebih works yg 5% lebih cepet pudarin pih nya. Entah yg 10% diaku malah b aja ga ngasih efek seperti yg 5% . Untuk pemula jg kayanya menurutku better coba yg 5% dulu deh,Positif
"favorit aku❤️❤️. aku suka banget pakai somethinc, bisa ngilangi bekas jerawat aku, bikin gak gampang beruntusan lagi. nampak agak cerah muka aku dan gak kusam lagi. dan gak banjir minyak dimuka. pokoknya seneng banget pakai somethinc karna sebagus itu❤️❤️",Positif
"Serum ini udah kuhabisin dua botol, tapi dua-duanya bonus dari pembelian bundling serum lain jadi bukan serum yang aku emang niatin beli. Serum ini lebih kentel teksturnya dari serum somethinc lainnya yang aku udah coba. Setelah pake dua botol aku gak ngeliat perubahan tertentu sih di wajah aku dan nggak ngerasain kalo ini bikin muka aku tambah cerah juga kaya klaimnya tapi membantu buat tekstur kulit wajah aku tetap terjaga tetep bagus. Kesimpulannya bagi aku serum ini nice to have aja, gak kepikiran buat purchase di lain waktu. Tapi kayanya aku bakal purchase yang 10% deh berikutnya karena masih penasaran belum ngerasain hasil dari ekspektasi yang aku mau dari si niacinamide 5% ini",Netral
"Bukan serum niacin pertamaku, tapi kandungannya kurang lebih sama yaa dengan serum niacin lain. Kadang aku jadiin basic serum, atau layering serum + retinol. Efeknya mantulita banget, karena retinol bikin kering si niacin ini jadi kayak pelindungnya buat melembabkan sekaligus mencerahkan. Udh wajib harus stock serum niacin, kombinasi sama retinol muantap pol",Positif
"Serum nya bagus banget, aku suka jadi dulu sempet dapet free product serum ini bagus banget dan aku cocok! serum nya juga enak bisa melembabkan wajah aku.. harganya juga cukup terjangkau recommend banget, smapai sekarang masih pake ini serum",Positif
"ini serum superduper bagus polllllll nampolll abissssssss. serum pertama yang bener-bener bikin glowing. teksturnya ringan gampang di blend dan cepet menyerap. niacinimide nya aja sudah 5%. bisa di pake di pagi dan malam hari, harga affordable untuk hasil yang sebagus ini",Positif
"Sorry to say ini ga cocok bgt di aku padahal bnyk banget kan yg cocok🥲 untuk aroma ada wangi jeruk / vit c gitu, terus teksturnya juga agak lenget aku kurang suka sih. Terusss kan aku pakenya malem dan di aku tuh bikin beruntusan paginyaa, udah pake 2x juga masih sama",Negatif
"Tektur cairrr dan bening, gak berbau, enak cepet menyerapnya, pake ini udah 2 minggu lebih berasa mencerahkannya, dan harganya juga affordable banget, di aku gak bikin breakout surprisingly karna muka ku sensitive",Positif
Bagus. Aku pake serum ini udah dari 2020. Waktu itu lagi corona trs aku berhenti dari krim dokter krna gbsa beli secara offline jd hrs beli yg ada di online. Awalnya strugle bgt untuk pilih skincare sampe breakout parah. Akhirnya nyoba serum ini dan ternyata cocok bgt bikin muka aku better dr sebelumnya. Jadi lebih cerah dan menahan tumbuhnya jerawat.. bantu memudarkan bekas jerawat juga. Pokonya ini best of the best product skincare yang pernah aku pakai!!,Positif
"pertama kali brand ini muncul sudah tertarik banget sama niacinamidenya. karna kondisi kulit saat itu skin barrier rusak, berjerawat, kemerahan, kusam dan bekas jerawat. akhirnya cobain serum ini dan cocok bgt. skin barrier mulai baik, jerawat mereda, bekasnya pun cepat memudar, wajah lebih cerah. serum wajib ada di urutan pm skincare♡",Positif
Punya bekas jerawat PIH yang membandel bikin stresss. Akhirnya cobain somethinc niacinamide 10% (karna udah terbiasa pake niacin). Udah hampir abis botol gede yg 40ml dan so far so good. Emang ga instan tpi bekas jerawat memudar lebih cepat dari biasanya. Tergolong serum yang awet karna teksturnya agak thick mudah di ratain semuka-muka dan bikin kulitku yg super dry ini jadi lembab. Repurchase dongggg yaaa....,Positif
"Suka produk produknya somethinc karna ada perubahannya😍 yang 5% aja udah nampoll buat nyerahin wajahku, aku pake rutin bisa ilangin bekas jerawat, udah ngepurchase 2x yang 40ml. Next pengen menjelajahi serum somethinc lainnya🥰🥰🥰",Positif
"pertama kali ditetesin emang agak lengket, ternyata setelah di apply gampang banget buat diratain di wajah. dan di kulit aku pemakaian 3 minggu udah keliatan hasilnya. suka banget banget banget pokoknya dan ga berpindah ke serum lain sih",Positif
"Serum pertama dari somethinc. Teksturnya runny, enak banget diblend, setelah penggunaan berasa melembabkan banget. Untuk efeknya ada sih mencerahkan walau gak terlalu ekstrim yg langsung berubah gitu. Untuk size dan harga hmmm kalo gak diskon aku gak beli hehe",Netral
"warna bening dan tekstur pas, setelah pemakaian misal saat malam, besok paginya wajahku sering muncul masalah jerawat batu, dan nggak ada keliatan efek mencerahkannya di bekas jerawatku, aku kira aku nggak cocok niacinamide ternyata nggak, karena cocok aja saat aku pake produk niacinamide lain, sepertinya nggak cocok sama serum ini",Negatif
"Serum terdabest menurut aku. warna kulit muka ku yg belang ga belang lagi, dia juga melembabkan ga bikin oily banget. bangun tidur kalau hbs pakai ini muka jd sedikit lebih cerah. pertama kali nyoba langsung jatuh cintaa❤️❤️❤️. ga nyesel si pake ini",Positif
"brand lokal yg pertama kali aku cb niacinamidenya.. naksir udh repurchase 2x trs ada kandungan yg lbh tinggi itu dan banyak pesaing hahahaa.. cocok sama yg 5% sih.. dr tekstur sama nyerapnya enak, baunya jg enggak ganggu.. kayaknya newbie friendly sih ini, jangan yg 10% ya kalo blm bs imbangin sm.hydrating tonernya",Positif
"Dulu takut cobain produk ini. Tapi, memberanikan diri coba. Sekarang, entah udah botol ke berapa yang aku habiskan untuk produk ini. Secinta ituu lah. Teksturnya gak cair banget, tapi mudah menyerap dan gak lengket kalau dilayer pake serum jenis lain. Yang kulitnya kusam, wajib cobain sih!",Positif
"yasssss bagus banget serum ini, awal beli cuma yg 20ml aja karna takut ga cocok, pas dipake teksturnya agak kentel dan warnanya agak kekuningan gitu, tapi aku tetep pake dan positif thinking dan alhamdulillah cocok di aku and it's works, kulit aku jd cerah dan keliatan sehat, setelah 20ml ku abis, aku beli yg 40ml dgn packaging yg bagus bgt pake pipet tetes yang ga dipencet dan itu bikin gue semangat make serumnya😅 awet 2 bulan yg 40ml btw",Positif
serum niacinamide somethinc ini andalan aku banget untuk menyerahkan kulit dari yang 5% sampe 10% uda ku coba suka banget apalagi kalo kulit lagi belang karna aktivitas outdoor ini serum aku pake setiap hari pagi dan malam ini uda botol kesekian,Positif
"Dulu aku pake yang 5% aja udah nampol deh sekitar sebulanan lebih ada hasil mencerahkannya. Mudarin bekas kehitaman jerawat juga bisa dan meredakan kemerahan juga oke. Konsentrasi 5% cocok banget buat yang baru terjun ke dunia perniacinan. Kalo udah dirasa kebal, bisa level up ke yang 10%!",Positif
"waktu cobain ini ga berekspektasi apa apa eh ternyata jadinya malah bucin niacinamide n pas bikin riview ini udah habisin 2 botol. di aku bikin kulit mulus n seger, kalo untuk mencerahan aku ga liat hasil yg kontras tapi no kusem kusem club sih sejak pakai ini.",Positif
"Ekspektasinya tinggi ya say karena banyak yang bilang bagus dan beneran mencerahkan. But, no for me. Ngabisin sebotol tapi belum keliatan efeknya. Gak ada efek negatif sih di aku, cocok-cocok aja. Teksturnya yang gel dan cepat meresap juga jadi poin plus. Harga sih standar ya. Maybe i'll give it a try next time.",Netral
"aku pakai yg 5% yaa, dan menurut aku ini produk paling the best dari somethinc yang pernah aku coba. Selain dia bisa mencerahkan wajah dia juga bisa mengobati jerawat ringan. Ini udah botol ketigaku dan bakal repurchase. Btw, ini dicombo dgn retinol mantap banget asli!!!",Positif
bikin kulit wajah cerah dan halus.. efek melembabkan juga ada.. bagus banget dipake bahkan buat base makeup karna bikin wajah jadi lebih kenyal.. bagus banget bangett.. harganya juga affordable banget sih .. rekomended banget .. serum favorit,Positif
"Pake ini pas lagi banyak jerawat aktif sama bekas PIE, mantul (combo sama moist yang ceramic skin savior). Di aku ini ngebantu banget buat ngurangin jerawat, tapi pas jerawatnya udah tinggal bekas gitu aku ngerasanya biasa aja sih. Secara tekstur ok nggak bikin lengket dan mudah menyerap.",Positif
Ini merupakan salah satu serum terbaik yang pernah aku punya dan aku pake sampe aku makenya berulang kali dan bolak balik beli karena ini ada banget hasilnya khususnya untuk mencerahkan kulit aku dan sukanya lagi dia banruim kulit aku jadi lembab,Positif
"Dia ini serum niacinamide kedua aku setelah whitelab. Kandungannya aku pernah nyoba 2 2 nya. dan sadly dia ga ngefek apa apa diaku. udah habis 2 botol each 5 and 10 percent but nothing changed. tapi, efek lainnya itu dia ngejaga skin barrier aku masa. kaya ngerasa kulit aku lebih sehat aja gitu. cuman kalau untuk mencerahkan aku sudah nemu ingredients lain selain niacinmaide yang lebih manjur.",Netral
"ini serum pertama ku, hmm ekspektasi nya ketinggian karena baca review bagus, kirain bakal ngurangin jerawat tapi kyak nambah merah2, trus terlalu berminyak dimuka ku padahal step2 nya udh dijeda, duh udh cukup beli sekali aja deh, buat nyerahin juga kurang.",Netral
"serum yang bener” manfaatnya lgsg keliatan di kulit aku. beli ini gara” lg bermasalah sm skin barrier (jerawat&bruntus) dan mau fokus utk hydration aja. tp biasanya kl lg fokus hydration kulit bakal keliatan kusam, jd aku coba yg ada kandungan niacinamidenya. pas nyoba ini keliatan bgttt efek hydratingnya tp yg gak lebay gt (kulit aku oily parah) utk mencerahkan sih baru keliatan setelah pemakaian 2-3 minggu ya. ak pake 2x sehari pagi dan malam. setelah 1 bulan lebih skin barrier aku membaik bgttt, merah” udh hilang semua dan bagian bawah hidung udh ga dehidrasi lagii. tp ya ttp hrs dibantu dgn rangkaian skincare lainnya ya.",Positif
"dapet rekomen dari temen dan langsung cari2 reviewnya yang katanya bagus dan benar2 mencerahkan. setelah aku pakai -+ 1 bulan, hasilnya benar2 mencerahkan sih, kulit yang awanya agak kusam, pake ini jadi cerah mukanya.. serum kedua aku yang cocok untuk kulit wajahku selain erha😍",Positif
"tekstur serumnya cair dan cukup cepat menyerap ke kulit. kalau mau dipakai sehari-hari juga aman ke kulit muka. untuk wanginya menurutku okay, tidak terlalu menyengat. gak yang mengganggu juga si. overall its oke. Hasilnya lumayan membantu mencerahkan di kulit aku",Positif
"sumpahhh kecintaan bangett sma serum ini,pertama kali coba pas dpt bonus beli tonernyaa,pas dipake ternyata enak bngttt dikulit aku yg dry ini bikin lembab, tekstur ga terlalu cair gtu agak,bikin lembab muka dan bikin cerahhh, apalagi kalo di combo sma retinol atau alpha arbutin makinnn mantepp,bikin muka glowingg dipagi hari,bikin lembab semaleman deh, aku suka bngt sma produk ini udhh repurchase berkali2 ♥️❤️",Positif
Cinta banget sama serum ini karena serum mencerahkan pertama yang beneran oke di wajahku. ga ada timbul efek negatif sama sekali. senyaman itu dan sebagus itu. suka banget sama klaimnya ternyata sesuai dengan hasilnya di wajahku. oily skin approved nih !!!,Positif
"Serum niacinamide paling aman dan nyaman di pake, mencerahkan tapi gak memutihkan ya, ada efek healthy skin gitu. Lumayan hilangin bruntusan juga, apply before make up jadinya makin bagus, finishnya glowing. Untuk hasil maksimal aku rekomendasi pakai bareng tonernya yg supple power",Positif
"Mungkin reviewnya berbeda dengan kebanyakan orang, tapi kebetulan ini kurang cocok sama kulitku. Konsistensinya cukup cair tapi bukan yg langsung ngalir, wanginya juga oke gak menyengat. Setelah aplikasi menyerap dengan baik tapi gak langsung hilang gitu. Efeknya sesuai klaim untuk mencerahkan warna kulit dan yes setuju banget sejak hari pertama pemakaian pun bisa notice langsung kelihatan efeknya dapat bekerja dengan baik. Tapi entah kenapa di kulitku rasanya panas dan pedih banget cekit-cekit. Awalnya aku kira mungkin karena baru ""kenalan"" sama ingredients nya jadi kaget. Tapi ternyata setelah cukup lama pakai masih terasa cekit terus padahal setelahnya selalu pakai moisturizer yg cukup heavy. Jadi memutuskan untuk stop dan sepertinya kurang cocok di kulit sensitif, sorry.",Netral
"Aku penasaran bgt sama serum ini krn wktu itu liat reviewnya di yutub dan tiktok dan setelah ku pakaiii teksturnya ringan bgt, harga msh affordable, dan diaplikasikan ke kulit ku jadi bikin lembab. So far so good ini cocok bgt buat aku",Positif
Ini serum pertama aku setelah aku 2th ga skincare gara2 hamil dan menyusui serta stop dari skincare dokter. Amaze banget sebagus itu buat mempercerah kulit dan melembabkan kulit. Semenjak dari sini aku langsung suka dan nyobain semua brand lokal skincare. Dan pada cocok di muka aku 😭 padal aku udah ketergantunhan skincare dokter,Positif
Aku juga baru pakai beberapa hari nih serum somethinc buat wajah ku lembab dan segar ditambah pakai cushion nya cocok... wajah ku gak jerawatan... dan agak putihan dan segar... aku romendasi dari temen2 yang udah pakai..,Positif
"aku pake yg 10% karena udah biasa pake niacinamide. ini bagus pollll buat yg bekas jerawatnya bandel. lumayan cepet mudarin bekas jerawat, terus kalo ada jerawat yang mau numbuh, dipakein ini langsung gajadi numbuh?! 🫶 lembabin muka juga dan ga berat di mukaa!",Positif
"Walaupun lebih nampol yang 10% tapi yang ini jauh lebih melembabkan dan gampang menyerap juga. The new pump packaging juga jadi nilai plus karena lebih gampang buat ambil product nya dan lebih travel friendly karena bisa di lock, jadi gak gampang bocor",Positif
"Suka banget sama serumnya somethinc karena cocok di aku, teksturnya cair dan gampang meresap ke wajah, setelah di apply wajah jadi kerasa lebih kenyal, bekas jerawat di muka aku juga lumayan memudar dan bikin wajah jadi lebih cerah. Must try ♥️",Positif
gue engga tau ini udah botol keberapa 😭 mulai dari tahun 2019 udah pake produk ini dan it works alias baguss bangett. teksturnya light dan ga ada wangi apapun. satu2nya produk niacin yang cocok dikulit gue. engga terlalu bikin kulit kering dan masih lembab. baguss bgt ga ngerti lagi,Positif
"Disaat muka lagi kusam dan ngga enak diliat, galau buat cari2 skincare yg cocok buat kulit muka.. konsul2 dan disaranin pake produk ini, kulit langsung berubah jadi lebih cerah dan kusam langsung ilaaaang... thank you so much somethinc 😘",Positif
sudah tidak terhitung berapa kali repurchase udh pakai dr tahun 2020 akhir sampai sekarang 2022 kulitku jadi sehat drnya gmpang minyakan jd lembab. kulit jadi lebih cerah dan gak kusa.sesuka itu sama somethinc. Wajib banget dicoba. Utk harga okelah tp worth it bgt,Positif
"Hasil review ku di pemakaian selama 3 bulan tuh serum ini tekstur nya agak thick tapi dia cepet nyerep nya, aku beli langsung yang ukuran 40 ml and no regrets at all. kalo dibandingin sm yang salicylic acid sm yg hyaluronic, aku pilih ini sih honestly!!!!!Wajah jadi plumpy dan jerawat yg kemerahan jd calm.Apalagi dipakai dibawah makeup SANGAT AMAT BAGUUUSS, bikin foundie or whatever product sit on your skin perfectly dan jadi enak blend produk apapunn terutama liquid (concealer,foundie,etc) !!",Positif
Serum ini ampuh banget buat mencerahkam wajah aku yang notabenenya ada bekas jerawat dan ada jerawat sebanyak 1-3 aja karena jerawat hormonal. Efeknya cepat banget cuman jangka 2 minggu untuk mencerahkan bekas jerawat. Tapi aku hanya pakai sesuai kebutuhan saja ya. kalau ada bekas jerawat membandel saja 😊,Positif
serum ini safe zone buat kulit aku. kalo udah capek coba coba serum selalu balik lagi ke serum ini. teksturnya cair ringan di kulit aku tapi untuk progres mencerahkannya jalan setengah botol mungkin baru keliatan hasilnya. but so far so good.,Positif
"Pakai kurang lebih 1bulan, kulit terlihat lebih cerah, glowing dan bekas jerawat memudar. Teksturnya cair dan mudah meresap. Packaging nya 20ml masih yang pipet bukan pump, its okay ga masalah buat aku. Dan aku udah beli yang size 40ml nya. Luv it!",Positif
"My SOS ketika kulitku lagi ngambek akibat sering gonta ganti produk. Pas awal pake, emang sedikit ada rasa sumuk, tapi makin kesini makin cinta. Paling cakep kalo di layering sama diamond phyto serum. Menurutku sedikit lengket dan berat sih, karena teksturnya agak thick. Terlepas dari itu semua, cucok banget bat investasi kulit jangka panjang. btw ini 10% yaa, kalo mau coba, pakai yg 5% aja dulu.",Netral
"Bener” bisa ngebantu ngelawan jerawat, aku make yang 5% dan ini udh repurchase ke 2x nya, seampuh itu bagus poll, dirutinin bakal lebih bagus lagi + make dgn retinol ya beb biar mantul, baunya tawar gaada sensasi cekit”, dan ga lengket sama sekali",Positif
"setelah memakai produk ini mukaku jadi terasa halus dan lebih bersih,,padahal baru baru ini pemakaianya tetapi sudah klop dimuka aku,dan juga bagus banget untuk muka aku,terimakasih banyak somethinc yang telah membuat aku lebih percaya diri❤️❤️❤️❤️❤️",Positif
"sangat amat cocol di kulit aku, aku make ini bener bener sebulan tanpa ada cheating day dan hasil yang dikasih tuh kulit jadi lebih sehat, plumpy, dan glowing gituu. cara pemakaiannya pun gampang sekalii tinggal pake alat yang ada di tutup kemasannya. dan yang paling pasti tuh somethinc baunya enak dan efek yang dikasih pun dingin dingin seger",Positif
"Serum somethinc pertama yang aku coba, hasilnya cocok cocok aja di kulitku, claim produk ini beginner friendly karna mengandung niacinamide 5%, fungsinya untuk mencerahkan, kemasannya botol kaca, lalu pump nya bisa di lock jadi aman kalo di bawa bawa, ga ada wanginya, tektsurnya ga gel ga cair, ada di tengah2 itu, cepat meresap dan ga bikin lengket. yang aku rasakan setelah abis 2 jar, lebih ke menjaga kecerahan kulit kalau untuk mencerahkan belum begitu keliat hasilnya, mungkin harus naik ke yg 10%. Tapi tetep bakal jadi pilihan serum untuk daily di pagi hari.",Positif
"jujur klaim mencerahkannya ga terlalu kelihatan di kulitku (mungkin satu botol kurang cukup ya?). tapi ini melembabkan sih di kulit keringku. teksturnya cair&gampang diblend. paling enak kalo pakenya abis dimasukin kulkas, adem seger. tapi ga bakal repurchase, sih.",Netral
"favorit ku bgt nih serum somethinc terbaik buat wajah aku jd lembab gak kusam dan mencerahkan , enak bgt gak lengket dikulit . ada harga ada kualitas , wlaupun agak mahal tapi serum ini bagus woooyyy , kalian wajib bgt cobain deh recomended banget ❤️❤️❤️",Positif
Udahh repurchase beberapa kali serum Niacin satu ini kandungan Sabi nya juga berhasil bikin kulit keringkujadi lembab gitu abis pake produk ini kulit ku juga lebih cerah an tapi kalau lama kena mataharitetep jadi kusam apa aku harus nambah dosis jadi yang 10% yah,Netral
"pemakaian serum ini di aku mungkin cuman buat melembabkan aja. untuk bikin wajah cerah aku ga terlalu lihat perubahannya (mungkin karena jarang aku pakai). serumnya cepat meresap dan ga bikin masalah di kulit aku, sih. mungkin kalau aku rutin pakai, bakal lebih kelihatan cerahnya.",Netral
"Ini serum pertama aku yg bikin aku kenal skin care dan rajin skin care an, siapa sih yg ga tau serum somethinc yg juara banget, brightening nya keliatan dlm dua minggu pemakaian, ga lengket dan gampang banget meresap di kulit, pasti nya cocok untuk semua jenis kulit...",Positif
ekspektasi aku tinggi untuk produk ini tp hasilnya di aku B aja:’) dia ga bikin breakout tapi dia juga ngga ada efek apa apa di wajah aku. huu sedih bangett padahal review orang2 banyak yang cocok dan hasilnya baguss. sayang sekali di aku b ajaaa,Netral
"Serum ini 11 12 ama serum terkenal di luar negeri, bedanya ini affordable dan ingridient nya ada beet etc. Di aku prefer melembabkan dan bikin fresh aja karena aku belum berani pakai niacinamide 10% .",Positif
"Sempet nyoba ini pas lg breakout parah, apalagi prodaknya baru promo buy1get1 . Nyoba Pake ini buat hilangin bekas jerawat .Udah Sebulan pake ini keliatan wajah jadi lebih cerahan tp bekas jerawat tetep engga ilang. Bagus buat mencerahkan wajah wort it bgt 👍👍",Netral
"ini udah keeesekian kalinya aku repurchase. duh ga ngerti lagi pokoknya produk ini holy grail banget buat aku. cumaann emg harus telaten dan rajin setiap hari dipake baru nyata hasilnya. kulit aku bener2 cerah, bekas jerawat pun memudar walaupun dalam case tertentu kayak misalkan jerawat yg bikin bopeng itu agak sulit dan lama ilangnya. tp tetep produk ini emg ga bohongan ngilangin bekas jerawatnya. kulit aku jg jd lebih sehat, glowing, dan jarang jerawatan . aku jg combine dengan avoskin yg refining serum+toner. beuuh makin nampol deh pokoknya. sekarang aku jerawatan kalo pas lagi mau halangan aja. dan bekas jerawat jg terbantu banget sama mereka2 ini🥹",Positif
